type,name,postal_code,address,latitude,longitude,running_time,tel,email,budget,description,advice,holiday,parking,home_page,owner_id,instagram,twitter,youtube,status,created_user,updated_user,opening_hours,facility_id,image,order,created_user
1,FLAP COFFEE and BAKE SHOP,9050009,沖縄県名護市宇茂佐の森４丁目１９−３,26.603562,127.960238,,980389027,,,フレンチトーストにベリーがのっててただでさえ甘酸っぱくて美味しいのに、追いハチミツで完璧にノックアウト！！！,,木曜日,有り,https://www.facebook.com/FLAPCOFFEE/menu/,1,,,,,1,1,8:00〜17:00,11,https://cdn.pixabay.com/photo/2017/08/25/13/46/cloud-2680234_960_720.jpg,11,1
1,シーサイドカフェ　ブルートリップ,9050021,沖縄県名護市東江5-14-20 ,26.579348,127.983682,,980543541,info@sunset-sea.com,,ソーセージホットドッグのインパクト！！！パンも硬すぎず、ソーセージは旨味抜群のお肉の味！！！,,火曜日,有り,http://cafe.sunset-sea.com/,1,,,,,1,1,12:00〜22:00,12,https://cdn.pixabay.com/photo/2017/08/25/13/46/cloud-2680234_960_720.jpg,12,1
1,ランチカフェほのぼの,9051152,名護市字伊差川１２８−８,26.609587,128.003135,,9019460679,,,名護の大通りから少し入ったところにあるこちらのお店。普段から地元の方々で賑わっています。,,日、月曜日,有り,,1,,,,,1,1,11:00〜15:00,13,http://yanbaru-tour.net/wp-content/uploads/2017/02/IMG_6807-e1487225651507.jpg,13,1
1,ハンハンムーマニー,9050013,名護市城１丁目２−２,26.590694,127.982689,,980437453,,,韓国グルメの最先端を楽しめるお店が名護にOPEN！！まず外せないのはヤンニョムチキン！最高にビールにあう甘辛いタレがくせになります！,,日曜日,なし, https://www.instagram.com/hanhanmoomani/,1,,,,,1,1,18:00〜23:00,14,https://cdn.pixabay.com/photo/2017/08/25/13/46/cloud-2680234_960_720.jpg,14,1
1,ヤンバルスペース（YANBARU SPACE）,9051152,名護市伊差川134-2,26.609564,128.002552,,9088019200,,,かみざとさんの奥様のカフェ！！ITスキルを沖縄に広めていきたいなと思い立ち上げました！,,不定休,有り,https://yanbaru-space.myshopify.com/,1,,,,,1,1,11:00〜17:00,15,https://pbs.twimg.com/profile_images/1278182464288985089/Bf__o0of_400x400.jpg,15,1
1,羽地海人デリ,9051143,沖縄県名護市字真喜屋763番地1,26.631059,128.032124,,9096510141,,,名護市羽地内海の漁師さんが獲った新鮮魚をどうぞ！,,なし,有り,https://www.instagram.com/uminchu_deli/,1,,,,,1,1,11:00〜14:00,16,https://cdn.pixabay.com/photo/2017/08/25/13/46/cloud-2680234_960_720.jpg,16,1
1,FiFi PARLOR,9051154,名護市字呉我1335-4,26.645683,127.992884,,,,,インスタ映え間違いなし！！  沖縄やんばる羽地内海の浜辺にある飲食パーラー！！,2020.7.21にオープンしたばかり！  ロケーション抜群なお店です！！  まるで絵画のような景色を一望しながら美味しいお料理とお飲み物をいただけます！  中でも珍しいのが，海に向かってブランコできることです！！  開放的な気分をぜひ経験してみてください！  ,不定休,有り,https://www.instagram.com/fifi_parlor/,1,,,,,1,1,10:00〜17:00,17,https://cdn.pixabay.com/photo/2017/08/25/13/46/cloud-2680234_960_720.jpg,17,1
1,大家（うふやー）,9050004,沖縄県名護市字中山９０,26.620966,127.963747,沖縄自動車豊見城・名嘉地ICより名護向けに許田ICまで57.3km、国道58号、県道84号を中山方面へ車で13km,980530280,,,どこか懐かしい。南の島のふるさと。縁もゆかりもない沖縄だけど、懐かしく、ふるさとを思い出してしまう。木の温もり、畳の感触、縁側から見る自然の風景。これは日本人に共通する愛郷の心が思い出されてしまうからでしょうか。,,年中無休,有り,https://ufuya.com/,1,,,,,1,1,11:00〜17:00 18:00〜22:00,18,https://ufuya.com/wp-content/uploads/2020/02/55a98598add3c2fe1fb774a884c0a95a.jpg,18,1
0,『道の駅』許田,9050024,沖縄県名護市許田　17-1,26.551979,127.969988,許田ICおりてすぐ!!,980540880,,,平成30年度に道の駅「許田」において、地域活性化の拠点となる優れた企画があり、今後重点支援で効果的な取り組みが期待できるものとして、平成31年1月30日、道の駅許田は、沖縄県で二ヵ所目となる重点「道の駅」と選定されました。,夏の時期になると、パインやマンゴー、冬の時期になるとタンカンをはじめ、豊富な種類のフルーツの香りが店内に広がり、お客様を楽しませています。,年中無休,有り,https://www.yanbaru-b.co.jp/,1,,,,,1,1,9:00〜18:00,19,http://yanbaru-b.co.jp/wp-content/uploads/2016/04/shop_600x400.gif,19,1
0,羽地の駅,9051143,沖縄県名護市字真喜屋763番地1,26.631059,128.032124,那覇空港→沖縄高速道・那覇IC(インターチェンジ)→約70分→許田IC(インターチェンジ)で降り国道58号線を名護市内方面へさらに北上→屋我地島手前の国道５８号線沿い右手側が当施設となります。,980582358,,,沖縄県本島北部・名護市（なごし）の羽地（はねじ）地域に、新しい直売施設がグランドオープンしました！,新鮮な羽地のたまご「やんばるたまご」とその親鶏「羽地鶏」を使った食事やお惣菜を提供しています。養鶏業盛んな、ここ羽地でしか味わえない新鮮・おいしいたまごと鶏料理お楽しみ下さい。羽地地域は果物の栽培も盛んです。,年中無休,有り,http://haneji-eki.com/,1,,,,,1,1,9:00〜19:00,20,http://haneji-eki.com/wp-content/themes/haneji/images/access_img01.jpg,20,1
0,ナゴパインナップルパーク,9050005,沖縄県名護市為又1195,26.616327,127.969723,沖縄自動車豊見城・名嘉地ICより名護向けに許田ICまで57.3km、国道58号、県道84号を中山方面へ車で13km,980533659,,,パイナップルを楽しむ、学ぶ、味わう。,パイナップル畑や色とりどりの花々、ジャングルのように茂る植物を鑑賞できます。他にもパイナップルについてのレクチャーや資料で沖縄のパイナップルの歴史を学ぶこともできます。また、パイナップルを使ったスイーツやお菓子もご用意しています。,年中無休,有り,https://www.nagopine.com/,1,,,,,1,1,9:00〜18:00,21,https://www.nagopine.com/wp-content/uploads/2020/03/0ffef181980616d826ab02fa0a6670ee.jpg,21,1
